Symptom,cate
What are the symptoms of Spastic paraplegia neuropathy poikiloderma ?,Spastic paraplegia neuropathy poikiloderma
What are the symptoms of Methylcobalamin deficiency cbl G type ?,Methylcobalamin deficiency cbl G type
What are the symptoms of Meckel syndrome type 3 ?,Meckel syndrome type 3
What are the symptoms of Malignant hyperthermia susceptibility type 3 ?,Malignant hyperthermia susceptibility type 3
What are the symptoms of Distal myopathy with vocal cord weakness ?,Distal myopathy with vocal cord weakness
What are the symptoms of Gardner syndrome ?,Gardner syndrome
What are the symptoms of Spondyloepiphyseal dysplasia ?,Spondyloepiphyseal dysplasia
What are the symptoms of Stargardt disease ?,Stargardt disease
What are the symptoms of Mandibuloacral dysplasia with type A lipodystrophy ?,Mandibuloacral dysplasia with type A lipodystrophy
What are the symptoms of Gamma-cystathionase deficiency ?,Gamma-cystathionase deficiency
What are the symptoms of Spondyloepiphyseal dysplasia-brachydactyly and distinctive speech ?,Spondyloepiphyseal dysplasia-brachydactyly and distinctive speech
What are the symptoms of Isolated growth hormone deficiency type 3 ?,Isolated growth hormone deficiency type 3
What are the symptoms of Gastroschisis ?,Gastroschisis
"What are the symptoms of Dystonia 5, Dopa-responsive type ?","Dystonia 5, Dopa-responsive type"
What are the symptoms of Branchiootorenal syndrome ?,Branchiootorenal syndrome
What are the symptoms of Periventricular heterotopia ?,Periventricular heterotopia
What are the symptoms of Leucine-sensitive hypoglycemia of infancy ?,Leucine-sensitive hypoglycemia of infancy
What are the symptoms of Prevent diabetes problems: Keep your nervous system healthy ?,Prevent diabetes problems: Keep your nervous system healthy
What are the symptoms of Uhl anomaly ?,Uhl anomaly
What are the symptoms of Keutel syndrome ?,Keutel syndrome
What are the symptoms of Madelung disease ?,Madelung disease
What are the symptoms of Urachal cyst ?,Urachal cyst
What are the symptoms of Autosomal recessive nonsyndromic congenital nuclear cataract ?,Autosomal recessive nonsyndromic congenital nuclear cataract
What are the symptoms of Geroderma osteodysplastica ?,Geroderma osteodysplastica
What are the symptoms of Charcot-Marie-Tooth disease ?,Charcot-Marie-Tooth disease
What are the symptoms of Osteogenesis imperfecta type VII ?,Osteogenesis imperfecta type VII
What are the symptoms of Infantile axonal neuropathy ?,Infantile axonal neuropathy
What are the symptoms of Thrombocythemia and Thrombocytosis ?,Thrombocythemia and Thrombocytosis
What are the symptoms of Ulnar hypoplasia lobster claw deformity of feet ?,Ulnar hypoplasia lobster claw deformity of feet
What are the symptoms of Immunodeficiency with hyper IgM type 1 ?,Immunodeficiency with hyper IgM type 1
What are the symptoms of Myoclonic epilepsy with ragged red fibers ?,Myoclonic epilepsy with ragged red fibers
What are the symptoms of Pitt-Hopkins-like syndrome ?,Pitt-Hopkins-like syndrome
What are the symptoms of Buschke Ollendorff syndrome ?,Buschke Ollendorff syndrome
What are the symptoms of Waardenburg syndrome ?,Waardenburg syndrome
"What are the symptoms of Epidermolysis bullosa simplex, Dowling-Meara type ?","Epidermolysis bullosa simplex, Dowling-Meara type"
What are the symptoms of Papillon Lefevre syndrome ?,Papillon Lefevre syndrome
What are the symptoms of Striatonigral degeneration infantile ?,Striatonigral degeneration infantile
What are the symptoms of Epilepsy juvenile absence ?,Epilepsy juvenile absence
What are the symptoms of Parkes Weber syndrome ?,Parkes Weber syndrome
What are the symptoms of Dystonia 1 ?,Dystonia 1
"What are the symptoms of Deafness, autosomal recessive 51 ?","Deafness, autosomal recessive 51"
What are the symptoms of Peripheral Arterial Disease (P.A.D.) ?,Peripheral Arterial Disease (P.A.D.)
What are the symptoms of Mental retardation x-linked with cerebellar hypoplasia and distinctive facial appearance ?,Mental retardation x-linked with cerebellar hypoplasia and distinctive facial appearance
"What are the symptoms of Renal tubulopathy, diabetes mellitus, and cerebellar ataxia due to duplication of mitochondrial DNA ?","Renal tubulopathy, diabetes mellitus, and cerebellar ataxia due to duplication of mitochondrial DNA"
What are the symptoms of Single upper central incisor ?,Single upper central incisor
What are the symptoms of Van Den Bosch syndrome ?,Van Den Bosch syndrome
What are the symptoms of Denys-Drash syndrome ?,Denys-Drash syndrome
What are the symptoms of Mutiple parosteal osteochondromatous proliferations ?,Mutiple parosteal osteochondromatous proliferations
What are the symptoms of Cone-rod dystrophy ?,Cone-rod dystrophy
What are the symptoms of Hepatic lipase deficiency ?,Hepatic lipase deficiency
What are the symptoms of Marshall syndrome ?,Marshall syndrome
What are the symptoms of Ventricular extrasystoles with syncopal episodes - perodactyly - Robin sequence ?,Ventricular extrasystoles with syncopal episodes - perodactyly - Robin sequence
What are the symptoms of Sudden infant death syndrome ?,Sudden infant death syndrome
What are the symptoms of Afibrinogenemia ?,Afibrinogenemia
what are the symptoms of Hantavirus ?,what are the symptoms of Hantavirus
What are the symptoms of Chronic Myelomonocytic Leukemia ?,Chronic Myelomonocytic Leukemia
What are the symptoms of Pheochromocytoma-islet cell tumor syndrome ?,Pheochromocytoma-islet cell tumor syndrome
What are the symptoms of Febrile infection-related epilepsy syndrome ?,Febrile infection-related epilepsy syndrome
What are the symptoms of Familial renal cell carcinoma ?,Familial renal cell carcinoma
What are the symptoms of Oto-palato-digital syndrome type 1 ?,Oto-palato-digital syndrome type 1
What are the symptoms of MTHFR gene mutation ?,MTHFR gene mutation
What are the symptoms of Orofaciodigital syndrome 3 ?,Orofaciodigital syndrome 3
What are the symptoms of Cockayne syndrome ?,Cockayne syndrome
What are the symptoms of Congenital central hypoventilation syndrome ?,Congenital central hypoventilation syndrome
What are the symptoms of Muscular dystrophy white matter spongiosis ?,Muscular dystrophy white matter spongiosis
What are the symptoms of Chronic atypical neutrophilic dermatosis with lipodystrophy and elevated temperature ?,Chronic atypical neutrophilic dermatosis with lipodystrophy and elevated temperature
What are the symptoms of Fowler's syndrome ?,Fowler's syndrome
What are the symptoms of Schizencephaly ?,Schizencephaly
What are the symptoms of Spastic paraplegia 16 ?,Spastic paraplegia 16
What are the symptoms of Fingerprint body myopathy ?,Fingerprint body myopathy
What are the symptoms of Amish infantile epilepsy syndrome ?,Amish infantile epilepsy syndrome
What are the symptoms of Myeloperoxidase deficiency ?,Myeloperoxidase deficiency
What are the symptoms of Adrenocortical carcinoma ?,Adrenocortical carcinoma
What are the symptoms of Basilar migraine ?,Basilar migraine
"What are the symptoms of Mental retardation, X-linked, nonspecific ?","Mental retardation, X-linked, nonspecific"
What are the symptoms of Ataxia - hypogonadism - choroidal dystrophy ?,Ataxia - hypogonadism - choroidal dystrophy
What are the symptoms of Spinocerebellar ataxia 23 ?,Spinocerebellar ataxia 23
What are the symptoms of Baraitser Brett Piesowicz syndrome ?,Baraitser Brett Piesowicz syndrome
What are the symptoms of Autosomal dominant intermediate Charcot-Marie-Tooth disease type B ?,Autosomal dominant intermediate Charcot-Marie-Tooth disease type B
"What are the symptoms of Crigler Najjar syndrome, type 2 ?","Crigler Najjar syndrome, type 2"
"What are the symptoms of Leigh syndrome, French Canadian type ?","Leigh syndrome, French Canadian type"
What are the symptoms of Hypertelorism and tetralogy of Fallot ?,Hypertelorism and tetralogy of Fallot
What are the symptoms of Amyotrophic lateral sclerosis type 6 ?,Amyotrophic lateral sclerosis type 6
What are the symptoms of Spinocerebellar ataxia autosomal recessive with axonal neuropathy ?,Spinocerebellar ataxia autosomal recessive with axonal neuropathy
What are the symptoms of Aquagenic pruritus ?,Aquagenic pruritus
What are the symptoms of Primary Hyperparathyroidism ?,Primary Hyperparathyroidism
What are the symptoms of Pars planitis ?,Pars planitis
What are the symptoms of Cone dystrophy ?,Cone dystrophy
What are the symptoms of Osteodysplasia familial Anderson type ?,Osteodysplasia familial Anderson type
What are the symptoms of Telfer Sugar Jaeger syndrome ?,Telfer Sugar Jaeger syndrome
What are the symptoms of GTP cyclohydrolase I deficiency ?,GTP cyclohydrolase I deficiency
What are the symptoms of Male Breast Cancer ?,Male Breast Cancer
What are the symptoms of Spinal muscular atrophy Ryukyuan type ?,Spinal muscular atrophy Ryukyuan type
What are the symptoms of Primary gastrointestinal melanoma ?,Primary gastrointestinal melanoma
What are the symptoms of Cough ?,Cough
What are the symptoms of Glutaric acidemia type III ?,Glutaric acidemia type III
What are the symptoms of Pseudohypoaldosteronism type 2 ?,Pseudohypoaldosteronism type 2
What are the symptoms of Neonatal adrenoleukodystrophy ?,Neonatal adrenoleukodystrophy
What are the symptoms of Glomerulopathy with fibronectin deposits 1 ?,Glomerulopathy with fibronectin deposits 1
What are the symptoms of Corneal dystrophy and perceptive deafness ?,Corneal dystrophy and perceptive deafness
What are the symptoms of L1 syndrome ?,L1 syndrome
What are the symptoms of Ascher Syndrome ?,Ascher Syndrome
What are the symptoms of Agenesis of the dorsal pancreas ?,Agenesis of the dorsal pancreas
"What are the symptoms of Diffuse palmoplantar keratoderma, Bothnian type ?","Diffuse palmoplantar keratoderma, Bothnian type"
What are the symptoms of Renal oncocytoma ?,Renal oncocytoma
What are the symptoms of Achondrogenesis ?,Achondrogenesis
What are the symptoms of GM1 gangliosidosis ?,GM1 gangliosidosis
What are the symptoms of Thyroid hormone plasma membrane transport defect ?,Thyroid hormone plasma membrane transport defect
What are the symptoms of Celiac artery compression syndrome ?,Celiac artery compression syndrome
What are the symptoms of Game Friedman Paradice syndrome ?,Game Friedman Paradice syndrome
What are the symptoms of Hereditary angioedema ?,Hereditary angioedema
What are the symptoms of Joubert syndrome 2 ?,Joubert syndrome 2
What are the symptoms of Pineal cyst ?,Pineal cyst
What are the symptoms of Viral Hepatitis: A through E and Beyond ?,Viral Hepatitis: A through E and Beyond
What are the symptoms of Coronary Microvascular Disease ?,Coronary Microvascular Disease
What are the symptoms of Alopecia totalis ?,Alopecia totalis
What are the symptoms of Dopa-responsive dystonia ?,Dopa-responsive dystonia
"What are the symptoms of Hypertrichosis lanuginosa, acquired ?","Hypertrichosis lanuginosa, acquired"
What are the symptoms of Scalp defects postaxial polydactyly ?,Scalp defects postaxial polydactyly
What are the symptoms of Congenital Heart Defects ?,Congenital Heart Defects
What are the symptoms of Respiratory Failure ?,Respiratory Failure
What are the symptoms of Medullary cystic kidney disease ?,Medullary cystic kidney disease
What are the symptoms of Retinal cone dystrophy 3A ?,Retinal cone dystrophy 3A
"What are the symptoms of Nephropathy, deafness, and hyperparathyroidism ?","Nephropathy, deafness, and hyperparathyroidism"
What are the symptoms of National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report) ?,National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report)
What are the symptoms of Primary hyperoxaluria type 2 ?,Primary hyperoxaluria type 2
What are the symptoms of Anal sphincter dysplasia ?,Anal sphincter dysplasia
What are the symptoms of Binswanger's disease ?,Binswanger's disease
What are the symptoms of CADASIL ?,CADASIL
What are the symptoms of Heart Valve Disease ?,Heart Valve Disease
"What are the symptoms of Keratitis, hereditary ?","Keratitis, hereditary"
What are the symptoms of Kidney Dysplasia ?,Kidney Dysplasia
What are the symptoms of Metaphyseal dysplasia maxillary hypoplasia brachydactyly ?,Metaphyseal dysplasia maxillary hypoplasia brachydactyly
What are the symptoms of Antisynthetase syndrome ?,Antisynthetase syndrome
What are the symptoms of Biotinidase deficiency ?,Biotinidase deficiency
What are the symptoms of Mesomelic dysplasia Savarirayan type ?,Mesomelic dysplasia Savarirayan type
What are the symptoms of Familial hypercholesterolemia ?,Familial hypercholesterolemia
What are the symptoms of Mntriers Disease ?,Mntriers Disease
What are the symptoms of Microphthalmia syndromic 6 ?,Microphthalmia syndromic 6
What are the symptoms of Familial osteochondritis dissecans ?,Familial osteochondritis dissecans
What are the symptoms of Colorectal Cancer ?,Colorectal Cancer
What are the symptoms of Ectrodactyly cleft palate syndrome ?,Ectrodactyly cleft palate syndrome
What are the symptoms of Abruzzo Erickson syndrome ?,Abruzzo Erickson syndrome
What are the symptoms of Metachromatic leukodystrophy ?,Metachromatic leukodystrophy
What are the symptoms of Achondroplasia ?,Achondroplasia
What are the symptoms of Cortisone reductase deficiency ?,Cortisone reductase deficiency
What are the symptoms of Hydrolethalus syndrome ?,Hydrolethalus syndrome
What are the symptoms of Banki syndrome ?,Banki syndrome
What are the symptoms of Chondrocalcinosis 2 ?,Chondrocalcinosis 2
What are the symptoms of Spastic paraplegia 4 ?,Spastic paraplegia 4
What are the symptoms of Alpha-thalassemia ?,Alpha-thalassemia
What are the symptoms of Glomerular Diseases ?,Glomerular Diseases
What are the symptoms of Heart Murmur ?,Heart Murmur
What are the symptoms of Acute alcohol sensitivity ?,Acute alcohol sensitivity
What are the symptoms of Peyronie's Disease ?,Peyronie's Disease
What are the symptoms of Corneodermatoosseous syndrome ?,Corneodermatoosseous syndrome
What are the symptoms of Cockayne syndrome type II ?,Cockayne syndrome type II
"What are the symptoms of Stickler syndrome, type 2 ?","Stickler syndrome, type 2"
